#objectID mag0 amp ra dec
872042 13.75 0.17 191.666111 -13.098366
578356 13.75 0.38 189.212875 67.150166
742269 13.87 0.73 219.165853 12.175713
675095 13.94 0.29 136.500272 39.466239
591778 13.95 0.35 238.278801 2.690163
830749 13.95 0.24 133.885957 14.544754
738090 13.96 0.21 243.109756 32.540559
1303450 13.96 0.23 179.475655 50.870173
822875 13.98 0.35 183.468462 26.807477
1289831 13.99 0.31 205.750739 8.396305
718204 14.04 0.25 124.597291 26.606751
1177797 14.05 0.23 145.039331 57.459515
1235645 14.06 0.27 125.461413 46.713372
1290156 14.07 0.41 210.880674 8.512056
626633 14.09 0.37 166.355705 59.641243
665903 14.09 0.34 146.237118 47.508585
1286726 14.11 0.42 148.931977 35.110800
643928 14.12 0.39 242.627735 3.623401
803370 14.13 0.33 243.518619 53.373755
1275642 14.15 0.35 238.494703 7.401720
669507 14.17 0.20 229.815245 39.164731
798852 14.17 0.46 207.006451 29.194951
565783 14.17 0.16 160.221448 -2.056607
672332 14.19 0.33 175.265774 52.399083
867206 14.19 0.37 187.231990 16.750651
563221 14.19 0.29 172.082784 -2.801378
853251 14.19 0.35 205.157944 16.108472
1269056 14.20 0.30 168.384424 11.330193
793465 14.21 0.41 226.881213 25.051945
669330 14.22 0.25 187.533480 49.086060
795887 14.25 0.26 243.686258 14.948138
795907 14.25 0.31 245.256040 14.338574
733113 14.26 0.36 205.758193 8.098093
588515 14.26 0.44 217.875223 3.407875
627131 14.26 0.29 254.218069 42.272154
1239429 14.26 0.24 234.795103 54.652958
1288802 14.27 0.28 238.608630 37.666304
1288253 14.28 0.20 236.073807 38.698623
575752 14.29 0.44 260.501920 57.485592
572431 14.29 0.24 127.998758 50.241832
634204 14.30 0.33 201.028078 -2.991242
795934 14.30 0.23 246.948373 13.736475
750481 14.31 0.52 250.442986 17.351276
873730 14.31 0.43 173.633769 -5.642401
1255442 14.31 0.33 228.245608 55.222063
617048 14.31 0.41 128.206701 43.267226
1271651 14.32 0.25 178.757638 43.734063
1266766 14.33 0.33 158.619086 39.255444
1241486 14.33 0.33 183.088871 6.188250
1289906 14.34 0.37 218.267868 7.461179
627134 14.34 0.31 255.684232 40.350835
1256021 14.34 0.32 267.784047 50.504286
