ID,Probability,Period,Amplitude
658512,0.52,0.352603527055743,0.5335
3384231,0.558,0.344316806750689,0.567
5713415,0.518,0.499484871998551,0.399
6958952,0.51,0.353397776667782,0.547
7260181,0.555,0.36626526735873,0.36
7527829,0.522,0.362232568114877,0.356
7892817,0.518,0.356829918921167,0.3355
9049257,0.527,0.34039916112525,0.3255
9634545,0.508,0.366879839662363,0.383
11325772,0.512,0.356583393222396,0.32
13551583,0.563,0.404080953306110,0.4375
14304825,0.52,0.530315036574392,0.548
17942645,0.524,0.423790225950901,0.2835
19533186,0.58,0.356974448297988,0.34
21679837,0.539,0.336111261888653,0.4305
23378473,0.595,0.365858163994657,0.404
23624228,0.508,0.364450089759813,0.3525
23709941,0.59,0.368504806284284,0.4775
